species_id,park_code,park_name,order,family,scientific_name,common_names,raptor_group,record_status,occurrence,nativeness,abundance,seasonality,conservation_status,is_protected,raptor_sci_fam,is_raptor
ACAD-1065,ACAD,Acadia,Accipitriformes,Accipitridae,Haliaeetus leucocephalus,Bald Eagle,Eagle,Approved,Present,Native,Common,Breeder,In Recovery,True,Accipitridae,True
ACAD-1066,ACAD,Acadia,Accipitriformes,Cathartidae,Cathartes aura,Turkey Vulture,Vulture,Approved,Present,Native,Common,Unknown,Species of Concern,True,Cathartidae,True
ACAD-1067,ACAD,Acadia,Accipitriformes,Pandionidae,Pandion haliaetus,Osprey,Osprey,Approved,Present,Native,Common,Unknown,Species of Concern,True,Pandionidae,True
ACAD-1068,ACAD,Acadia,Anseriformes,Anatidae,Aix sponsa,Wood Duck,N/A,Approved,Present,Native,Common,Breeder,Least Concern,False,,False
ACAD-1069,ACAD,Acadia,Anseriformes,Anatidae,Anas acuta,Northern Pintail,N/A,Approved,Present,Native,Rare,Migratory,Least Concern,False,,False
ACAD-1070,ACAD,Acadia,Anseriformes,Anatidae,Anas americana,American Wigeon,N/A,Approved,Present,Native,Uncommon,Migratory,Least Concern,False,,False
ACAD-1071,ACAD,Acadia,Anseriformes,Anatidae,Anas clypeata,Northern Shoveler,N/A,Approved,Not Confirmed,Native,Unknown,Migratory,Least Concern,False,,False
ACAD-1072,ACAD,Acadia,Anseriformes,Anatidae,Anas crecca,Green-Winged Teal,N/A,Approved,Present,Native,Common,Breeder,Least Concern,False,,False
ACAD-1073,ACAD,Acadia,Anseriformes,Anatidae,Anas discors,Blue-Winged Teal,N/A,Approved,Present,Native,Uncommon,Breeder,Least Concern,False,,False
ACAD-1074,ACAD,Acadia,Anseriformes,Anatidae,Anas penelope,Eurasian Wigeon,N/A,Approved,Present,Not Native,Unknown,Vagrant,Least Concern,False,,False
ACAD-1075,ACAD,Acadia,Anseriformes,Anatidae,Anas platyrhynchos,Mallard,N/A,Approved,Present,Unknown,Common,Breeder,Least Concern,False,,False
ACAD-1076,ACAD,Acadia,Anseriformes,Anatidae,Anas rubripes,American Black Duck,N/A,Approved,Present,Native,Abundant,Breeder,Least Concern,False,,False
ACAD-1077,ACAD,Acadia,Anseriformes,Anatidae,Anas strepera,Gadwall,N/A,Approved,Present,Not Native,Unknown,Vagrant,Least Concern,False,,False
ACAD-1078,ACAD,Acadia,Anseriformes,Anatidae,Anser albifrons,Greater White-Fronted Goose,N/A,Approved,Present,Unknown,Occasional,Vagrant,Least Concern,False,,False
ACAD-1079,ACAD,Acadia,Anseriformes,Anatidae,Aythya affinis,Lesser Scaup,N/A,Approved,Not Confirmed,Unknown,Unknown,Migratory,Species of Concern,True,,False
ACAD-1080,ACAD,Acadia,Anseriformes,Anatidae,Aythya americana,Redhead,N/A,Approved,Not Confirmed,Not Native,Unknown,Vagrant,Least Concern,False,,False
ACAD-1081,ACAD,Acadia,Anseriformes,Anatidae,Aythya collaris,Ring-Necked Duck,N/A,Approved,Present,Native,Common,Breeder,Least Concern,False,,False
ACAD-1082,ACAD,Acadia,Anseriformes,Anatidae,Aythya marila,Greater Scaup,N/A,Approved,Present,Native,Common,Resident,Least Concern,False,,False
ACAD-1083,ACAD,Acadia,Anseriformes,Anatidae,Aythya valisineria,Canvasback,N/A,Approved,Present,Not Native,Occasional,Vagrant,Least Concern,False,,False
ACAD-1084,ACAD,Acadia,Anseriformes,Anatidae,Branta bernicla,Brant,N/A,Approved,Not Confirmed,Native,Unknown,Migratory,Least Concern,False,,False
ACAD-1085,ACAD,Acadia,Anseriformes,Anatidae,Branta canadensis,Canada Goose,N/A,Approved,Present,Unknown,Common,Unknown,Least Concern,False,,False
ACAD-1086,ACAD,Acadia,Anseriformes,Anatidae,Bucephala albeola,Bufflehead,N/A,Approved,Present,Native,Abundant,Resident,Least Concern,False,,False
ACAD-1087,ACAD,Acadia,Anseriformes,Anatidae,Bucephala clangula,Common Goldeneye,N/A,Approved,Present,Native,Common,Resident,Least Concern,False,,False
ACAD-1088,ACAD,Acadia,Anseriformes,Anatidae,Bucephala islandica,Barrow's Goldeneye,N/A,Approved,Not Confirmed,Unknown,Unknown,Unknown,Least Concern,False,,False
ACAD-1089,ACAD,Acadia,Anseriformes,Anatidae,Camptorhynchus labradorius,Labrador Duck,N/A,Approved,Not Confirmed,Native,Unknown,Unknown,Least Concern,False,,False
ACAD-1090,ACAD,Acadia,Anseriformes,Anatidae,Chen caerulescens,Snow Goose,N/A,Approved,Present,Native,Occasional,Vagrant,Least Concern,False,,False
ACAD-1091,ACAD,Acadia,Anseriformes,Anatidae,Clangula hyemalis,Long-Tailed Duck,N/A,Approved,Not Confirmed,Native,Unknown,Resident,Least Concern,False,,False
ACAD-1092,ACAD,Acadia,Anseriformes,Anatidae,Cygnus columbianus,Tundra Swan,N/A,Approved,Not Confirmed,Unknown,Unknown,Vagrant,Least Concern,False,,False
ACAD-1093,ACAD,Acadia,Anseriformes,Anatidae,Histrionicus histrionicus,Harlequin Duck,N/A,Approved,Present,Native,Common,Resident,Least Concern,False,,False
ACAD-1094,ACAD,Acadia,Anseriformes,Anatidae,Lophodytes cucullatus,Hooded Merganser,N/A,Approved,Present,Native,Uncommon,Breeder,Least Concern,False,,False
ACAD-1095,ACAD,Acadia,Anseriformes,Anatidae,Melanitta fusca,White-Winged Scoter,N/A,Approved,Not Confirmed,Native,Unknown,Resident,Least Concern,False,,False
ACAD-1096,ACAD,Acadia,Anseriformes,Anatidae,Melanitta nigra,Black Scoter,N/A,Approved,Not Confirmed,Native,Unknown,Resident,Least Concern,False,,False
ACAD-1097,ACAD,Acadia,Anseriformes,Anatidae,Melanitta perspicillata,Surf Scoter,N/A,Approved,Not Confirmed,Native,Unknown,Resident,Least Concern,False,,False
ACAD-1098,ACAD,Acadia,Anseriformes,Anatidae,Mergus merganser,Common Merganser,N/A,Approved,Present,Native,Uncommon,Breeder,Least Concern,False,,False
ACAD-1099,ACAD,Acadia,Anseriformes,Anatidae,Mergus serrator,Red-Breasted Merganser,N/A,Approved,Present,Native,Common,Breeder,Least Concern,False,,False
ACAD-1100,ACAD,Acadia,Anseriformes,Anatidae,Oxyura jamaicensis,Ruddy Duck,N/A,Approved,Not Confirmed,Unknown,Unknown,Migratory,Least Concern,False,,False
ACAD-1101,ACAD,Acadia,Anseriformes,Anatidae,Somateria mollissima,Common Eider,N/A,Approved,Present,Native,Abundant,Resident,Least Concern,False,,False
ACAD-1102,ACAD,Acadia,Anseriformes,Anatidae,Somateria spectabilis,King Eider,N/A,Approved,Not Confirmed,Unknown,Unknown,Vagrant,Least Concern,False,,False
ACAD-1103,ACAD,Acadia,Apodiformes,Apodidae,Chaetura pelagica,Chimney Swift,N/A,Approved,Present,Native,Common,Unknown,Least Concern,False,,False
ACAD-1104,ACAD,Acadia,Apodiformes,Trochilidae,Archilochus colubris,Ruby-Throated Hummingbird,N/A,Approved,Present,Native,Common,Unknown,Least Concern,False,,False
ACAD-1105,ACAD,Acadia,Apodiformes,Trochilidae,Selasphorus rufus,Rufous Hummingbird,N/A,Approved,Not Confirmed,Not Native,Unknown,Vagrant,Species of Concern,True,,False
ACAD-1106,ACAD,Acadia,Caprimulgiformes,Caprimulgidae,Caprimulgus carolinensis,Chuck-Will's-Widow,N/A,Approved,Not Confirmed,Not Native,Unknown,Vagrant,Least Concern,False,,False
ACAD-1107,ACAD,Acadia,Caprimulgiformes,Caprimulgidae,Caprimulgus vociferus,Whip-Poor-Will,N/A,Approved,Present,Native,Common,Breeder,Least Concern,False,,False
ACAD-1108,ACAD,Acadia,Caprimulgiformes,Caprimulgidae,Chordeiles minor,Common Nighthawk,N/A,Approved,Present,Native,Common,Breeder,Least Concern,False,,False
ACAD-1109,ACAD,Acadia,Charadriiformes,Alcidae,Alca torda,"Northern Razor-Billed Auk, Razorbill",N/A,Approved,Not Confirmed,Unknown,Unknown,Unknown,Least Concern,False,,False
ACAD-1110,ACAD,Acadia,Charadriiformes,Alcidae,Alle alle,Dovekie,N/A,Approved,Not Confirmed,Unknown,Unknown,Unknown,Least Concern,False,,False
ACAD-1111,ACAD,Acadia,Charadriiformes,Alcidae,Cepphus grylle,Black Guillemot,N/A,Approved,Present,Native,Common,Breeder,Least Concern,False,,False
ACAD-1112,ACAD,Acadia,Charadriiformes,Alcidae,Fratercula arctica,Atlantic Puffin,N/A,Approved,Not Confirmed,Unknown,Unknown,Resident,Species of Concern,True,,False
ACAD-1113,ACAD,Acadia,Charadriiformes,Alcidae,Pinguinus impennis,Great Auk,N/A,Approved,Not Present (Historical Report),Native,Unknown,Unknown,Least Concern,False,,False
ACAD-1114,ACAD,Acadia,Charadriiformes,Alcidae,Uria aalge,Common Murre,N/A,Approved,Not Present (Historical Report),Native,Unknown,Resident,Least Concern,False,,False
ACAD-1115,ACAD,Acadia,Charadriiformes,Alcidae,Uria lomvia,Thick-Billed Murre,N/A,Approved,Not Confirmed,Native,Unknown,Resident,Least Concern,False,,False
ACAD-1116,ACAD,Acadia,Charadriiformes,Charadriidae,Charadrius melodus,Piping Plover,N/A,Approved,Not Confirmed,Native,Unknown,Migratory,Threatened,True,,False
ACAD-1117,ACAD,Acadia,Charadriiformes,Charadriidae,Charadrius semipalmatus,Semipalmated Plover,N/A,Approved,Not Confirmed,Native,Unknown,Migratory,Least Concern,False,,False
ACAD-1118,ACAD,Acadia,Charadriiformes,Charadriidae,Charadrius vociferus,Killdeer,N/A,Approved,Present,Native,Common,Unknown,Least Concern,False,,False
ACAD-1119,ACAD,Acadia,Charadriiformes,Charadriidae,Pluvialis dominica,American Golden-Plover,N/A,Approved,Not Confirmed,Native,Unknown,Migratory,Least Concern,False,,False
ACAD-1120,ACAD,Acadia,Charadriiformes,Charadriidae,Pluvialis squatarola,Black-Bellied Plover,N/A,Approved,Present,Native,Common,Migratory,Least Concern,False,,False
ACAD-1121,ACAD,Acadia,Charadriiformes,Haematopodidae,Haematopus palliatus,American Oystercatcher,N/A,Approved,Not Confirmed,Not Native,Unknown,Vagrant,Species of Concern,True,,False
ACAD-1122,ACAD,Acadia,Charadriiformes,Laridae,Chlidonias niger,Black Tern,N/A,Approved,Not Confirmed,Native,Unknown,Migratory,Species of Concern,True,,False
ACAD-1123,ACAD,Acadia,Charadriiformes,Laridae,Larus argentatus,Herring Gull,N/A,Approved,Present,Native,Abundant,Resident,Least Concern,False,,False
ACAD-1124,ACAD,Acadia,Charadriiformes,Laridae,Larus atricilla,Laughing Gull,N/A,Approved,Present,Native,Common,Resident,Species of Concern,True,,False
ACAD-1125,ACAD,Acadia,Charadriiformes,Laridae,Larus delawarensis,Ring-Billed Gull,N/A,Approved,Present,Native,Common,Resident,Least Concern,False,,False
ACAD-1126,ACAD,Acadia,Charadriiformes,Laridae,Larus fuscus,Lesser Black-Backed Gull,N/A,Approved,Not Confirmed,Not Native,Unknown,Vagrant,Least Concern,False,,False
ACAD-1127,ACAD,Acadia,Charadriiformes,Laridae,Larus glaucoides,Iceland Gull,N/A,Approved,Not Confirmed,Native,Unknown,Resident,Least Concern,False,,False
ACAD-1128,ACAD,Acadia,Charadriiformes,Laridae,Larus hyperboreus,Glaucous Gull,N/A,Approved,Not Confirmed,Native,Unknown,Resident,Least Concern,False,,False
ACAD-1129,ACAD,Acadia,Charadriiformes,Laridae,Larus marinus,Great Black-Backed Gull,N/A,Approved,Present,Native,Abundant,Resident,Least Concern,False,,False
ACAD-1130,ACAD,Acadia,Charadriiformes,Laridae,Larus minutus,Little Gull,N/A,Approved,Not Confirmed,Not Native,Unknown,Vagrant,Least Concern,False,,False
ACAD-1131,ACAD,Acadia,Charadriiformes,Laridae,Larus philadelphia,Bonaparte's Gull,N/A,Approved,Not Confirmed,Native,Unknown,Resident,Least Concern,False,,False
ACAD-1132,ACAD,Acadia,Charadriiformes,Laridae,Larus pipixcan,Franklin's Gull,N/A,Approved,Not Confirmed,Not Native,Unknown,Vagrant,Least Concern,False,,False
ACAD-1133,ACAD,Acadia,Charadriiformes,Laridae,Larus ridibundus,"Black-Headed Gull, Common Black-Headed Gull",N/A,Approved,Not Confirmed,Not Native,Unknown,Vagrant,Least Concern,False,,False
ACAD-1134,ACAD,Acadia,Charadriiformes,Laridae,Pagophila eburnea,Ivory Gull,N/A,Approved,Not Confirmed,Not Native,Unknown,Vagrant,Least Concern,False,,False
ACAD-1135,ACAD,Acadia,Charadriiformes,Laridae,Rissa tridactyla,Black-Legged Kittiwake,N/A,Approved,Not Confirmed,Native,Unknown,Resident,Least Concern,False,,False
ACAD-1136,ACAD,Acadia,Charadriiformes,Laridae,Rynchops niger,Black Skimmer,N/A,Approved,Not Confirmed,Not Native,Unknown,Vagrant,Species of Concern,True,,False
ACAD-1137,ACAD,Acadia,Charadriiformes,Laridae,Sterna antillarum,Least Tern,N/A,Approved,Not Present (Historical Report),Not Native,Unknown,Vagrant,Least Concern,False,,False
ACAD-1138,ACAD,Acadia,Charadriiformes,Laridae,Sterna caspia,Caspian Tern,N/A,Approved,Not Confirmed,Not Native,Unknown,Migratory,Least Concern,False,,False
ACAD-1139,ACAD,Acadia,Charadriiformes,Laridae,Sterna dougallii,Roseate Tern,N/A,Approved,Not Confirmed,Native,Unknown,Resident,Least Concern,False,,False
ACAD-1140,ACAD,Acadia,Charadriiformes,Laridae,Sterna fuscata,Sooty Tern,N/A,Approved,Not Confirmed,Not Native,Unknown,Vagrant,Least Concern,False,,False
ACAD-1141,ACAD,Acadia,Charadriiformes,Laridae,Sterna hirundo,Common Tern,N/A,Approved,Present,Native,Common,Resident,Species of Concern,True,,False
ACAD-1142,ACAD,Acadia,Charadriiformes,Laridae,Sterna maxima,Royal Tern,N/A,Approved,Not Confirmed,Not Native,Unknown,Vagrant,Least Concern,False,,False
ACAD-1143,ACAD,Acadia,Charadriiformes,Laridae,Sterna paradisaea,Arctic Tern,N/A,Approved,Not Confirmed,Native,Unknown,Resident,Least Concern,False,,False
ACAD-1144,ACAD,Acadia,Charadriiformes,Laridae,Xema sabini,Sabine's Gull,N/A,Approved,Not Confirmed,Not Native,Unknown,Vagrant,Least Concern,False,,False
ACAD-1145,ACAD,Acadia,Charadriiformes,Recurvirostridae,Recurvirostra americana,American Avocet,N/A,Approved,Present,Not Native,Unknown,Vagrant,Least Concern,False,,False
ACAD-1146,ACAD,Acadia,Charadriiformes,Scolopacidae,Actitis macularius,Spotted Sandpiper,N/A,Approved,Present,Native,Common,Unknown,Least Concern,False,,False
ACAD-1147,ACAD,Acadia,Charadriiformes,Scolopacidae,Arenaria interpres,Ruddy Turnstone,N/A,Approved,Present,Native,Common,Migratory,Least Concern,False,,False
ACAD-1148,ACAD,Acadia,Charadriiformes,Scolopacidae,Bartramia longicauda,Upland Sandpiper,N/A,Approved,Present,Native,Rare,Migratory,Species of Concern,True,,False
ACAD-1149,ACAD,Acadia,Charadriiformes,Scolopacidae,Calidris alba,Sanderling,N/A,Approved,Not Confirmed,Native,Unknown,Migratory,Least Concern,False,,False
ACAD-1150,ACAD,Acadia,Charadriiformes,Scolopacidae,Calidris alpina,Dunlin,N/A,Approved,Not Confirmed,Native,Unknown,Migratory,Least Concern,False,,False
ACAD-1151,ACAD,Acadia,Charadriiformes,Scolopacidae,Calidris bairdii,Baird's Sandpiper,N/A,Approved,Not Present (Historical Report),Not Native,Unknown,Vagrant,Least Concern,False,,False
ACAD-1152,ACAD,Acadia,Charadriiformes,Scolopacidae,Calidris canutus,Red Knot,N/A,Approved,Not Confirmed,Native,Unknown,Migratory,Least Concern,False,,False
ACAD-1153,ACAD,Acadia,Charadriiformes,Scolopacidae,Calidris fuscicollis,White-Rumped Sandpiper,N/A,Approved,Present,Native,Uncommon,Migratory,Least Concern,False,,False
ACAD-1154,ACAD,Acadia,Charadriiformes,Scolopacidae,Calidris himantopus,Stilt Sandpiper,N/A,Approved,Not Present (Historical Report),Not Native,Unknown,Vagrant,Least Concern,False,,False
ACAD-1155,ACAD,Acadia,Charadriiformes,Scolopacidae,Calidris maritima,Purple Sandpiper,N/A,Approved,Present,Native,Common,Resident,Least Concern,False,,False
ACAD-1156,ACAD,Acadia,Charadriiformes,Scolopacidae,Calidris mauri,Western Sandpiper,N/A,Approved,Not Confirmed,Not Native,Unknown,Vagrant,Least Concern,False,,False
ACAD-1157,ACAD,Acadia,Charadriiformes,Scolopacidae,Calidris melanotos,Pectoral Sandpiper,N/A,Approved,Present,Native,Rare,Migratory,Least Concern,False,,False
ACAD-1158,ACAD,Acadia,Charadriiformes,Scolopacidae,Calidris minutilla,Least Sandpiper,N/A,Approved,Present,Native,Common,Migratory,Least Concern,False,,False
ACAD-1159,ACAD,Acadia,Charadriiformes,Scolopacidae,Calidris pusilla,Semipalmated Sandpiper,N/A,Approved,Present,Native,Abundant,Migratory,Least Concern,False,,False
ACAD-1160,ACAD,Acadia,Charadriiformes,Scolopacidae,Catoptrophorus semipalmatus,Willet,N/A,Approved,Not Confirmed,Native,Unknown,Migratory,Least Concern,False,,False
ACAD-1161,ACAD,Acadia,Charadriiformes,Scolopacidae,Gallinago gallinago,Common Snipe,N/A,Approved,Present,Native,Rare,Unknown,Least Concern,False,,False
ACAD-1162,ACAD,Acadia,Charadriiformes,Scolopacidae,Limnodromus griseus,Short-Billed Dowitcher,N/A,Approved,Present,Native,Abundant,Migratory,Least Concern,False,,False
ACAD-1163,ACAD,Acadia,Charadriiformes,Scolopacidae,Limnodromus scolopaceus,Long-Billed Dowitcher,N/A,Approved,Not Confirmed,Not Native,Unknown,Vagrant,Least Concern,False,,False
ACAD-1164,ACAD,Acadia,Charadriiformes,Scolopacidae,Limosa haemastica,Hudsonian Godwit,N/A,Approved,Not Present (Historical Report),Native,Unknown,Migratory,Least Concern,False,,False
ACAD-1165,ACAD,Acadia,Charadriiformes,Scolopacidae,Numenius americanus,Long-Billed Curlew,N/A,Approved,Not Confirmed,Not Native,Unknown,Vagrant,Least Concern,False,,False
ACAD-1166,ACAD,Acadia,Charadriiformes,Scolopacidae,Numenius borealis,Eskimo Curlew,N/A,Approved,Not Confirmed,Native,Unknown,Migratory,Endangered,True,,False
ACAD-1167,ACAD,Acadia,Charadriiformes,Scolopacidae,Numenius phaeopus,Whimbrel,N/A,Approved,Present,Native,Rare,Migratory,Species of Concern,True,,False
ACAD-1168,ACAD,Acadia,Charadriiformes,Scolopacidae,Phalaropus fulicaria,Red Phalarope,N/A,Approved,Not Present (Historical Report),Not Native,Unknown,Vagrant,Least Concern,False,,False
ACAD-1169,ACAD,Acadia,Charadriiformes,Scolopacidae,Phalaropus lobatus,Red-Necked Phalarope,N/A,Approved,Not Confirmed,Native,Unknown,Migratory,Least Concern,False,,False
ACAD-1170,ACAD,Acadia,Charadriiformes,Scolopacidae,Phalaropus tricolor,Wilson's Phalarope,N/A,Approved,Not Confirmed,Not Native,Unknown,Vagrant,Least Concern,False,,False
ACAD-1171,ACAD,Acadia,Charadriiformes,Scolopacidae,Scolopax minor,American Woodcock,N/A,Approved,Present,Native,Common,Breeder,Least Concern,False,,False
ACAD-1172,ACAD,Acadia,Charadriiformes,Scolopacidae,Tringa flavipes,Lesser Yellowlegs,N/A,Approved,Present,Native,Uncommon,Migratory,Least Concern,False,,False
ACAD-1173,ACAD,Acadia,Charadriiformes,Scolopacidae,Tringa melanoleuca,Greater Yellowlegs,N/A,Approved,Present,Native,Common,Migratory,Least Concern,False,,False
ACAD-1174,ACAD,Acadia,Charadriiformes,Scolopacidae,Tringa solitaria,Solitary Sandpiper,N/A,Approved,Present,Native,Common,Migratory,Least Concern,False,,False
ACAD-1175,ACAD,Acadia,Charadriiformes,Stercorariidae,Catharacta skua,Great Skua,N/A,Approved,Not Confirmed,Not Native,Unknown,Vagrant,Least Concern,False,,False
ACAD-1176,ACAD,Acadia,Charadriiformes,Stercorariidae,Stercorarius longicaudus,Long-Tailed Jaeger,N/A,Approved,Not Confirmed,Not Native,Unknown,Vagrant,Least Concern,False,,False
ACAD-1177,ACAD,Acadia,Charadriiformes,Stercorariidae,Stercorarius parasiticus,Parasitic Jaeger,N/A,Approved,Not Confirmed,Not Native,Unknown,Vagrant,Least Concern,False,,False
ACAD-1178,ACAD,Acadia,Charadriiformes,Stercorariidae,Stercorarius pomarinus,Pomarine Jaeger,N/A,Approved,Not Present (False Report),Not Native,Unknown,Vagrant,Least Concern,False,,False
ACAD-1179,ACAD,Acadia,Columbiformes,Columbidae,Columba livia,Rock Pigeon,N/A,Approved,Not Confirmed,Not Native,Unknown,Unknown,Least Concern,False,,False
ACAD-1180,ACAD,Acadia,Columbiformes,Columbidae,Ectopistes migratorius,Passenger Pigeon,N/A,Approved,Not Confirmed,Native,Unknown,Unknown,Least Concern,False,,False
ACAD-1181,ACAD,Acadia,Columbiformes,Columbidae,Zenaida macroura,Mourning Dove,N/A,Approved,Present,Native,Common,Breeder,Least Concern,False,,False
ACAD-1182,ACAD,Acadia,Coraciiformes,Alcedinidae,Ceryle alcyon,Belted Kingfisher,N/A,Approved,Present,Native,Common,Breeder,Least Concern,False,,False
ACAD-1183,ACAD,Acadia,Cuculiformes,Cuculidae,Coccyzus americanus,Yellow-Billed Cuckoo,N/A,Approved,Present,Not Native,Unknown,Vagrant,Least Concern,False,,False
ACAD-1184,ACAD,Acadia,Cuculiformes,Cuculidae,Coccyzus erythropthalmus,Black-Billed Cuckoo,N/A,Approved,Present,Native,Rare,Breeder,Species of Concern,True,,False
ACAD-1185,ACAD,Acadia,Falconiformes,Falconidae,Falco columbarius,Merlin,Falcon,Approved,Present,Native,Common,Unknown,Species of Concern,True,Falconidae,True
ACAD-1186,ACAD,Acadia,Falconiformes,Falconidae,Falco peregrinus,Peregrine Falcon,Falcon,Approved,Present,Not Native,Uncommon,Breeder,Species of Concern,True,Falconidae,True
ACAD-1187,ACAD,Acadia,Falconiformes,Falconidae,Falco rusticolus,Gyrfalcon,Falcon,Approved,Present,Not Native,Unknown,Vagrant,Least Concern,False,Falconidae,True
ACAD-1188,ACAD,Acadia,Falconiformes,Falconidae,Falco sparverius,American Kestrel,Kestrel,Approved,Present,Native,Common,Unknown,Least Concern,False,Falconidae,True
ACAD-1189,ACAD,Acadia,Galliformes,Odontophoridae,Colinus virginianus,Northern Bobwhite,N/A,Approved,Not Confirmed,Not Native,Unknown,Vagrant,Least Concern,False,,False
ACAD-1190,ACAD,Acadia,Galliformes,Phasianidae,Bonasa umbellus,Ruffed Grouse,N/A,Approved,Present,Native,Common,Breeder,Least Concern,False,,False
ACAD-1191,ACAD,Acadia,Galliformes,Phasianidae,Falcipennis canadensis,Spruce Grouse,N/A,Approved,Present,Native,Rare,Breeder,Least Concern,False,,False
ACAD-1192,ACAD,Acadia,Galliformes,Phasianidae,Meleagris gallopavo,Wild Turkey,N/A,Approved,Not Confirmed,Not Native,Unknown,Unknown,Least Concern,False,,False
ACAD-1193,ACAD,Acadia,Galliformes,Phasianidae,Perdix perdix,Gray Partridge,N/A,Approved,Not Present (Historical Report),Not Native,Unknown,Unknown,Least Concern,False,,False
ACAD-1194,ACAD,Acadia,Galliformes,Phasianidae,Phasianus colchicus,Ring-Necked Pheasant,N/A,Approved,Not Confirmed,Not Native,Unknown,Unknown,Least Concern,False,,False
ACAD-1195,ACAD,Acadia,Galliformes,Phasianidae,Tympanuchus cupido cupido,Heath Hen,N/A,In Review,Not Present (False Report),Unknown,Unknown,Unknown,Least Concern,False,,False
ACAD-1196,ACAD,Acadia,Gaviiformes,Gaviidae,Gavia immer,Common Loon,N/A,Approved,Present,Native,Common,Breeder,Species of Concern,True,,False
ACAD-1197,ACAD,Acadia,Gaviiformes,Gaviidae,Gavia pacifica,Pacific Loon,N/A,Approved,Not Confirmed,Not Native,Unknown,Vagrant,Least Concern,False,,False
ACAD-1198,ACAD,Acadia,Gaviiformes,Gaviidae,Gavia stellata,Red-Throated Loon,N/A,Approved,Not Confirmed,Native,Unknown,Resident,Least Concern,False,,False
ACAD-1199,ACAD,Acadia,Gruiformes,Gruidae,Grus canadensis,Sandhill Crane,N/A,Approved,Not Confirmed,Not Native,Unknown,Vagrant,Least Concern,False,,False
ACAD-1200,ACAD,Acadia,Gruiformes,Rallidae,Fulica americana,American Coot,N/A,Approved,Present,Not Native,Unknown,Vagrant,Least Concern,False,,False
ACAD-1201,ACAD,Acadia,Gruiformes,Rallidae,Gallinula chloropus,Common Moorhen,N/A,Approved,Present,Native,Occasional,Resident,Least Concern,False,,False
ACAD-1202,ACAD,Acadia,Gruiformes,Rallidae,Porphyrio martinica,Purple Gallinule,N/A,Approved,Present,Not Native,Unknown,Vagrant,Least Concern,False,,False
ACAD-1203,ACAD,Acadia,Gruiformes,Rallidae,Porzana carolina,Sora,N/A,Approved,Present,Native,Common,Unknown,Least Concern,False,,False
ACAD-1204,ACAD,Acadia,Gruiformes,Rallidae,Rallus elegans,King Rail,N/A,Approved,Not Confirmed,Not Native,Unknown,Vagrant,Species of Concern,True,,False
ACAD-1205,ACAD,Acadia,Gruiformes,Rallidae,Rallus limicola,Virginia Rail,N/A,Approved,Present,Native,Rare,Breeder,Least Concern,False,,False
ACAD-1206,ACAD,Acadia,Gruiformes,Rallidae,Rallus longirostris,Clapper Rail,N/A,Approved,Not Present (Historical Report),Not Native,Unknown,Vagrant,Species of Concern,True,,False
ACAD-1207,ACAD,Acadia,Passeriformes,Alaudidae,Eremophila alpestris,Horned Lark,N/A,Approved,Present,Native,Uncommon,Migratory,Least Concern,False,,False
ACAD-1208,ACAD,Acadia,Passeriformes,Bombycillidae,Bombycilla cedrorum,Cedar Waxwing,N/A,Approved,Present,Native,Abundant,Breeder,Least Concern,False,,False
