species_code,order,family,scientific_name,common_name,raptor_group
0293,Passeriformes,Cinclidae,Cinclus mexicanus unicolor,American Dipper (unicolor subspecies),N/A
0294,Accipitriformes,Accipitridae,Circus cyaneus,Northern Harrier,Harrier
0295,Accipitriformes,Accipitridae,Circus cyaneus cyaneus,Northern Harrier (cyaneus subspecies),Harrier
0296,Accipitriformes,Accipitridae,Circus cyaneus hudsonius,Northern Harrier (hudsonius subspecies),Harrier
0297,Passeriformes,Fringillidae,Ciridops anna,ʻUla-ʻAi-Hawane,N/A
0298,Passeriformes,Troglodytidae,Cistothorus palustris,Marsh Wren,N/A
0299,Passeriformes,Troglodytidae,Cistothorus platensis,Sedge Wren,N/A
0300,Anseriformes,Anatidae,Clangula hyemalis,Long-Tailed Duck,N/A
0301,Passeriformes,Fringillidae,Coccothraustes vespertinus,Evening Grosbeak,N/A
0302,Passeriformes,Fringillidae,Coccothraustes vespertinus brooksi,Evening Grosbeak (brooksi subspecies),N/A
0303,Cuculiformes,Cuculidae,Coccyzus americanus,Yellow-Billed Cuckoo,N/A
0304,Cuculiformes,Cuculidae,Coccyzus erythropthalmus,Black-Billed Cuckoo,N/A
0305,Cuculiformes,Cuculidae,Coccyzus minor,Mangrove Cuckoo,N/A
0306,Passeriformes,Coerebidae,Coereba flaveola,Bananaquit,N/A
0307,Piciformes,Picidae,Colaptes auratus,Northern Flicker,N/A
0308,Piciformes,Picidae,Colaptes auratus auratus,Northern Flicker (auratus subspecies),N/A
0309,Piciformes,Picidae,Colaptes auratus cafer,Northern Flicker (cafer subspecies),N/A
0310,Piciformes,Picidae,Colaptes auratus collaris,Northern Flicker (collaris subspecies),N/A
0311,Piciformes,Picidae,Colaptes auratus luteus,Northern Flicker (luteus subspecies),N/A
0312,Piciformes,Picidae,Colaptes chrysoides,Gilded Flicker,N/A
0313,Galliformes,Odontophoridae,Colinus virginianus,Northern Bobwhite,N/A
0314,Galliformes,Odontophoridae,Colinus virginianus virginianus,Northern Bobwhite (virginianus subspecies),N/A
0315,Columbiformes,Columbidae,Columba livia,Rock Pigeon,N/A
0316,Columbiformes,Columbidae,Columbina inca,Inca Dove,N/A
0317,Columbiformes,Columbidae,Columbina passerina,Common Ground-Dove,N/A
