park_code,species_code,record_status,occurrence,nativeness,abundance,seasonality,conservation_status,is_protected,raptor_sci_fam,is_raptor
WICA,0581,Approved,Present,Native,Occasional,Migratory,Least Concern,False,,False
WICA,0582,Approved,Present,Native,Occasional,Migratory,Least Concern,False,,False
WICA,0917,Approved,Present,Native,Rare,Migratory,Least Concern,False,,False
WICA,0009,Approved,Present,Native,Rare,Unknown,Least Concern,False,,False
WICA,0120,Approved,Present,Native,Common,Breeder,Species of Concern,True,,False
WICA,0248,Approved,Present,Native,Occasional,Migratory,Least Concern,False,,False
WICA,0473,Approved,Present,Native,Uncommon,Breeder,Least Concern,False,,False
WICA,0597,Approved,Present,Native,Rare,Migratory,Least Concern,False,,False
WICA,0599,Approved,Present,Native,Occasional,Migratory,Species of Concern,True,,False
WICA,0684,Approved,Present,Native,Occasional,Resident,Least Concern,False,,False
WICA,0788,Approved,Present,Native,Occasional,Migratory,Least Concern,False,,False
WICA,0789,Approved,Present,Native,Uncommon,Migratory,Least Concern,False,,False
WICA,1072,Approved,Present,Native,Occasional,Migratory,Least Concern,False,,False
WICA,1074,Approved,Present,Native,Uncommon,Migratory,Least Concern,False,,False
WICA,1075,Approved,Present,Native,Rare,Migratory,Least Concern,False,,False
WICA,0315,Approved,Present,Not Native,Uncommon,Breeder,Least Concern,False,,False
WICA,1022,In Review,Present,Not Native,Uncommon,Unknown,Least Concern,False,,False
WICA,1166,Approved,Present,Native,Common,Breeder,Least Concern,False,,False
WICA,0258,Approved,Present,Native,Uncommon,Breeder,Least Concern,False,,False
WICA,0304,Approved,Present,Native,Occasional,Unknown,Species of Concern,True,,False
WICA,0444,Approved,Present,Native,Rare,Breeder,Species of Concern,True,Falconidae,True
WICA,0451,Approved,Present,Native,Uncommon,Breeder,Species of Concern,True,Falconidae,True
WICA,0453,Approved,Present,Native,Occasional,Migratory,Species of Concern,True,Falconidae,True
WICA,0458,Approved,Present,Native,Common,Breeder,Least Concern,False,Falconidae,True
WICA,0313,Approved,Present,Native,Occasional,Unknown,Least Concern,False,,False
WICA,0632,Approved,Present,Not Native,Common,Breeder,Least Concern,False,,False
WICA,0764,Approved,Present,Not Native,Rare,Resident,Least Concern,False,,False
WICA,0790,Approved,Present,Not Native,Rare,Resident,Least Concern,False,,False
WICA,1098,Approved,Present,Native,Common,Breeder,Least Concern,False,,False
WICA,0499,Approved,Not Confirmed,Native,Unknown,Unknown,Endangered,True,,False
WICA,0500,Approved,Present,Native,Uncommon,Migratory,Least Concern,False,,False
WICA,0469,Approved,Present,Native,Occasional,Migratory,Least Concern,False,,False
WICA,0877,Approved,Present,Native,Occasional,Breeder,Least Concern,False,,False
WICA,0427,Approved,Present,Native,Uncommon,Breeder,Least Concern,False,,False
WICA,0122,Approved,Present,Native,Common,Breeder,Least Concern,False,,False
WICA,0123,Approved,Present,Native,Occasional,Migratory,Least Concern,False,,False
WICA,0175,Approved,Present,Native,Occasional,Migratory,Least Concern,False,,False
WICA,0176,Approved,Present,Native,Occasional,Unknown,Species of Concern,True,,False
WICA,0177,Approved,Present,Native,Occasional,Unknown,Least Concern,False,,False
WICA,0842,Approved,Present,Native,Occasional,Migratory,Least Concern,False,,False
WICA,0749,Approved,Present,Native,Uncommon,Resident,Least Concern,False,,False
WICA,0751,Approved,Present,Native,Occasional,Unknown,Least Concern,False,,False
WICA,0754,Approved,Present,Native,Occasional,Resident,Least Concern,False,,False
WICA,0792,Approved,Present,Native,Occasional,Unknown,Least Concern,False,,False
WICA,0793,Approved,Present,Native,Common,Breeder,Least Concern,False,,False
WICA,0835,Approved,Present,Native,Common,Breeder,Least Concern,False,,False
WICA,0986,Approved,Present,Native,Occasional,Resident,Least Concern,False,,False
WICA,0255,Approved,Present,Native,Uncommon,Breeder,Species of Concern,True,,False
WICA,0328,Approved,Present,Native,Uncommon,Breeder,Least Concern,False,,False
WICA,0342,Approved,Present,Native,Occasional,Resident,Least Concern,False,,False
WICA,0503,Approved,Present,Native,Uncommon,Breeder,Species of Concern,True,,False
WICA,0683,Approved,Present,Native,Uncommon,Resident,Least Concern,False,,False
WICA,0765,Approved,Present,Native,Uncommon,Breeder,Least Concern,False,,False
