,species_id,park_code,park_name,order,family,scientific_name,common_names,record_status,occurrence,nativeness,abundance,seasonality,conservation_status,is_protected
114,ACAD-1114,ACAD,Acadia,Charadriiformes,Alcidae,Uria aalge,"Atlantic Murre, Common Murre",Approved,Not Present (Historical Report),Native,Unknown,Resident,Least Concern,False
115,ACAD-1115,ACAD,Acadia,Charadriiformes,Alcidae,Uria lomvia,"Brunnich's Murre, Brunnich's Thick-Billed Murre, Thick-Billed Murre",Approved,Not Confirmed,Native,Unknown,Resident,Least Concern,False
116,ACAD-1116,ACAD,Acadia,Charadriiformes,Charadriidae,Charadrius melodus,"Eastern Piping Plover, Piping Plover",Approved,Not Confirmed,Native,Unknown,Migratory,Threatened,True
117,ACAD-1117,ACAD,Acadia,Charadriiformes,Charadriidae,Charadrius semipalmatus,"Ringed Plover, Semipalmated Plover, Semipalmated Ringed Plover",Approved,Not Confirmed,Native,Unknown,Migratory,Least Concern,False
118,ACAD-1118,ACAD,Acadia,Charadriiformes,Charadriidae,Charadrius vociferus,"Killdeer, Northern Killdeer",Approved,Present,Native,Common,Unknown,Least Concern,False
119,ACAD-1119,ACAD,Acadia,Charadriiformes,Charadriidae,Pluvialis dominica,"American Golden Plover, American Golden-Plover, Eastern American Golden Plover",Approved,Not Confirmed,Native,Unknown,Migratory,Least Concern,False
120,ACAD-1120,ACAD,Acadia,Charadriiformes,Charadriidae,Pluvialis squatarola,Black-Bellied Plover,Approved,Present,Native,Common,Migratory,Least Concern,False
121,ACAD-1121,ACAD,Acadia,Charadriiformes,Haematopodidae,Haematopus palliatus,"American Oystercatcher, Eastern American Oystercatcher",Approved,Not Confirmed,Not Native,Unknown,Vagrant,Species of Concern,True
122,ACAD-1122,ACAD,Acadia,Charadriiformes,Laridae,Chlidonias niger,"American Black Tern, Black Tern",Approved,Not Confirmed,Native,Unknown,Migratory,Species of Concern,True
123,ACAD-1123,ACAD,Acadia,Charadriiformes,Laridae,Larus argentatus,"American Herring Gull, Herring Gull",Approved,Present,Native,Abundant,Resident,Least Concern,False
127,ACAD-1127,ACAD,Acadia,Charadriiformes,Laridae,Larus glaucoides,"Eastern Iceland Gull, Iceland Gull",Approved,Not Confirmed,Native,Unknown,Resident,Least Concern,False
128,ACAD-1128,ACAD,Acadia,Charadriiformes,Laridae,Larus hyperboreus,"Eastern Glaucous Gull, Glaucous Gull",Approved,Not Confirmed,Native,Unknown,Resident,Least Concern,False
133,ACAD-1133,ACAD,Acadia,Charadriiformes,Laridae,Larus ridibundus,"Black-Headed Gull, Western Black-Headed Gull",Approved,Not Confirmed,Not Native,Unknown,Vagrant,Least Concern,False
135,ACAD-1135,ACAD,Acadia,Charadriiformes,Laridae,Rissa tridactyla,"Atlantic Kittiwake, Black-Legged Kittiwake",Approved,Not Confirmed,Native,Unknown,Resident,Least Concern,False
136,ACAD-1136,ACAD,Acadia,Charadriiformes,Laridae,Rynchops niger,"Black Skimmer, Northern Black Skimmer",Approved,Not Confirmed,Not Native,Unknown,Vagrant,Species of Concern,True
137,ACAD-1137,ACAD,Acadia,Charadriiformes,Laridae,Sterna antillarum,"Eastern Least Tern, Least Tern",Approved,Not Present (Historical Report),Not Native,Unknown,Vagrant,Least Concern,False
139,ACAD-1139,ACAD,Acadia,Charadriiformes,Laridae,Sterna dougallii,"Northern Roseate Tern, Roseate Tern",Approved,Not Confirmed,Native,Unknown,Resident,Least Concern,False
140,ACAD-1140,ACAD,Acadia,Charadriiformes,Laridae,Sterna fuscata,"Eastern Sooty Tern, Sooty Tern",Approved,Not Confirmed,Not Native,Unknown,Vagrant,Least Concern,False
141,ACAD-1141,ACAD,Acadia,Charadriiformes,Laridae,Sterna hirundo,"Common Tern, Northern Common Tern",Approved,Present,Native,Common,Resident,Species of Concern,True
144,ACAD-1144,ACAD,Acadia,Charadriiformes,Laridae,Xema sabini,"Northern Sabine's Gull, Sabine's Gull",Approved,Not Confirmed,Not Native,Unknown,Vagrant,Least Concern,False
145,ACAD-1145,ACAD,Acadia,Charadriiformes,Recurvirostridae,Recurvirostra americana,"American Avocet, Avocet",Approved,Present,Not Native,Unknown,Vagrant,Least Concern,False
147,ACAD-1147,ACAD,Acadia,Charadriiformes,Scolopacidae,Arenaria interpres,Ruddy Turnstone,Approved,Present,Native,Common,Migratory,Least Concern,False
148,ACAD-1148,ACAD,Acadia,Charadriiformes,Scolopacidae,Bartramia longicauda,"Bartramian Sandpiper, Upland Plover, Upland Sandpiper",Approved,Present,Native,Rare,Migratory,Species of Concern,True
149,ACAD-1149,ACAD,Acadia,Charadriiformes,Scolopacidae,Calidris alba,Sanderling,Approved,Not Confirmed,Native,Unknown,Migratory,Least Concern,False
150,ACAD-1150,ACAD,Acadia,Charadriiformes,Scolopacidae,Calidris alpina,"Dunlin, Red-Backed Dunlin, Red-Backed Sandpiper",Approved,Not Confirmed,Native,Unknown,Migratory,Least Concern,False
152,ACAD-1152,ACAD,Acadia,Charadriiformes,Scolopacidae,Calidris canutus,"American Knot, Knot, Red Knot",Approved,Not Confirmed,Native,Unknown,Migratory,Least Concern,False
160,ACAD-1160,ACAD,Acadia,Charadriiformes,Scolopacidae,Catoptrophorus semipalmatus,"Eastern Willet, Willet",Approved,Not Confirmed,Native,Unknown,Migratory,Least Concern,False
161,ACAD-1161,ACAD,Acadia,Charadriiformes,Scolopacidae,Gallinago gallinago,"Common Snipe, Wilson's Common Snipe, Wilson's Snipe",Approved,Present,Native,Rare,Unknown,Least Concern,False
162,ACAD-1162,ACAD,Acadia,Charadriiformes,Scolopacidae,Limnodromus griseus,"Eastern Dowitcher, Short-Billed Dowitcher",Approved,Present,Native,Abundant,Migratory,Least Concern,False
